dataset,seed,scope,variant,n_users,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
sports,2030,Q4-high,Future-only,423,0.016548463356973995,0.006701813640513805,0.0037487335359675782,0.0425531914893617,0.013322877569844795,0.005585010872870698
sports,2030,Q4-high,Past+Future,423,0.02127659574468085,0.008762347758433363,0.004938271604938271,0.028368794326241134,0.010432795969058727,0.005333095869512004
sports,2030,Q4-high,FIR-MIC full,423,0.0,0.0,0.0,0.0,0.0,0.0
sports,2031,Overall,Past-only,1693,0.009450679267572357,0.0048507015734281945,0.0034052447519665476,0.024217365623154165,0.008627077451158663,0.00446291297625054
sports,2031,Overall,Future-only,1693,0.005906674542232723,0.0023331000114668187,0.0012671223244170675,0.016538688718251624,0.004959449848858264,0.0019575198075634215
sports,2031,Overall,Past+Future,1693,0.012404016538688719,0.005651677734943902,0.003678545645468268,0.02835203780271707,0.00951869846137952,0.0046541553896095175
sports,2031,Overall,FIR-MIC full,1693,0.060838747784997045,0.03274119176145352,0.02433620228953956,0.09686946249261666,0.04185980556044058,0.026840929857745593
sports,2031,Q4-high,Past-only,423,0.004728132387706856,0.002279581765732366,0.0015197568389057749,0.01182033096926714,0.00404418143692909,0.0019919379744160718
sports,2031,Q4-high,Future-only,423,0.0070921985815602835,0.0027747909040566356,0.0014578408195429474,0.03309692671394799,0.009314768116195428,0.003237358667391823
sports,2031,Q4-high,Past+Future,423,0.004728132387706856,0.0023336570701642544,0.0015760441292356185,0.016548463356973995,0.0051690429935469,0.002276330943744158
sports,2031,Q4-high,FIR-MIC full,423,0.0,0.0,0.0,0.0,0.0,0.0
